Japanese,English
yuubinkyoku,post office 
juusho,address 
kochira,here 
saifu,purse 
pasupo-to,passport 
isu,chair 
kawaii,cute 
ojiisan,grandfather (colloquial) 
kitte,postage stamp 
suzushii,cool (of temperature) 
ikutsu,how many 
menyu-,menu 
denki,electricity 
katsu,win 
makeru,lose 
tateru,build 
nikki,diary 
urikire,sell out 
omawarisan,police officer (colloquial) 
mezamashitokei,alarm clock 
reshi-to,receipt (loan word) 
tisshu,tissue 
haburashi,toothbrush 
oriru,go down 
arau,wash 
pa-to,part-time 
shimei,full name 
konya,tonight 
yonaka,midnight 
raishuu,next week 
dareka,someone 
nan,what. What is that? 
kesa,this morning 
sushi,sushi 
haku,put on (shoes) 
ojisan,uncle 
obasan,aunt 
obaasan,grandmother (colloquial) 
itoko,cousin 
jisho,dictionary (category) 
asagohan,breakfast 
shiro,white 
docchi,which (casual) 
socchi,there (casual) 
ashita,tomorrow (colloquial) 
myougonichi/asatte,day after tomorrow (colloquial) 
ototoi,the day before yesterday (colloquial) 
niwa,garden 
hidarigawa,left side 
migigawa,right side 
yubi,finger 
megane,glasses 
kaban,bag 
acchi,other side 
otonashii,gentle 
heta,not good at 
kibishii,strict 
hitoride,by oneself 
kotae,answer 
konogoro,these days 
zannen,regretful 
shimau,put away 
shinpai,anxiety 
soto,outside 
taisetsu,important 
choudo,just 
tasukeru,help 
tsutomeru,serve 
tsureteiku,take along 
joubu,healthy 
nigiyaka,lively 
nemui,sleepy 
yama,mountain 
hashi,bridge 
tomaru,come to a stop 
furu,fall 
hontou,reality 
machi,town 
okashi,sweets 
yurui,slack 
yoi,good (formal/written form) 
youkoso,welcome (greeting) 
omiyage,souvenir (polite) 
ryoushin,parents 
we-ta-,waiter 
we-toresu,waitress 
zettaini,absolutely 
gochisou,feast 
fo-ku,fork 
supu-n,spoon 
bin,bottle 
tsuku,be on 
shouyu,soy sauce 
chawan,rice bowl 
kimeru,decide 
kanjiru,feel 
ikiru,live (one’s life) 
ugokasu,move (something) 
kowareru,break 
fukushuu,review 
mayu,eyebrow 
kyaku,visitor 
tsukue,desk 
furo,bath 
yu,hot water 
nurui,tepid 
kazegusuri,cold medicine 
kutsushita,socks 
tabako,tobacco 
aisuko-hi-,iced coffee 
tempura,Japanese deep-fried food 
niku,flesh 
sakuya,last night 
hayaru,be in fashion 
tsuretekuru,bring (a person) 
kata,person (polite form) 
rei,zero 
kumo,cloud 
sora,sky 
ninki,popularity 
niisan,(one’s own) older brother (polite) 
neesan,(one’s own) older sister (polite) 
heisei,Heisei era 
maitsuki,every month 
hannichi,half a day 
hantsuki,half a month 
naruhodo,I see 
tsumari,in short 
sonomama,as it is 
hakkiri,clearly 
taihen,awful 
kantan,simple 
niteiru,look like 
odoroku,be surprised 
iya/ kira-i,dislike (situational) 
kenka,fight 
okureru,be late 
ninjin,carrot 
jagaimo,potato 
nasu,eggplant 
yakan,kettle 
hanashiau,discuss 
nokosu,leave 
gochisousuru,treat 
au,fit 
ataru,(go straight and) hit 
atsumaru,gather 
basho,place 
umi,sea 
shounen,boy (between 7 and 18 years old) 
mago,grandchild 
seito,pupil 
koukou,high school (for short) 
toshiue,older 
sotsugyou,graduation 
undou,movement 
senshu,athlete 
eiga,movie 
eigo,English 
tegami,letter 
doubutsu,animal 
oto,sound 
kaigai,overseas 
gaikokujin,foreigner 
kikoku,return to one’s country 
karera,they 
kikai,machine 
kihon,basics 
kondo,this time 
saigo,last 
saisho,first 
junbi,preparation 
susumu,advance 
chokusetsu,directly 
tokuni,specially 
todoku,reach 
naze,why 
narabu,line up 
hakobu,carry 
naosu,repair 
hantai,oppose 
baai,situation 
kuwashii,detailed 
itazura,mischief 
oiwai,celebrate 
kushi,comb 
koboreru,spill 
tsutaeru,convey 
hiza,knee 
hiji,elbow 
makura,pillow 
tatemono,building 
douro,road 
yotsukado,intersection 
magarikado,corner (to turn) 
keisatsu,police 
kuuki,air 
supo-tsu,sport 
chansu,chance 
kuri-ningu,dry cleaning 
sa-bisu,service 
guru-pu,group 
jitaku,one’s house 
katei,home 
kikan,term 
nendo,year 
keiken,experience 
anzen,safety 
kiken,danger 
chuui,attention 
